"Reference","Value","Footprint","Datasheet","Qty","DNP","Exclude from BOM","Exclude from Board"
"C1","1u","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","1","","",""
"C2,C3","100n","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","2","","",""
"C4","4u7","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","1","","",""
"D1","GREEN P","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","1","","",""
"D2","YELLOW TX","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","1","","",""
"D3","RED RX","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","1","","",""
"J1","Conn_01x05_Pin","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Horizontal","~","1","","",""
"J2","TYPE-C16PIN","1A:CONN16_C16PIN_SHN","TYPE-C16PIN","1","","",""
"R1,R2","5k1","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","2","","",""
"R3,R5","4k7","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","2","","",""
"R4,R6","2k2","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","2","","",""
"U1","CP2102-GMR","1A:QFN28_5X5_SIL","CP2102-GMR","1","","",""
"U2","USBLC6-2SC6","Package_TO_SOT_SMD:SOT-23-6","https://www.st.com/resource/en/datasheet/usblc6-2.pdf","1","","",""
